"intersection","camera_id","address","violation_date","violations","x_coordinate","y_coordinate","latitude","longitude","location"
"AUSTIN AND ADDISON","1493","6000 W ADDISON STREET","2024-11-28T00:00:00.000","4","1135698.1731544223","1923360.2295278055","41.9458796756","-87.7766274209","
,  
(41.94587967559099, -87.77662742093737)"
"AUSTIN AND ADDISON","1491","3600 N AUSTIN AVENUE","2024-11-28T00:00:00.000","3","1135691.599896458","1923335.9673061692","41.9458132147","-87.7766521616","
,  
(41.9458132146695, -87.77665216156436)"
"AUSTIN AND IRVING PARK","1163","6000 W IRVING PARK ROAD","2024-11-28T00:00:00.000","1","1135622.4026360235","1926014.1920636457","41.9531637719","-87.7768425928","
,  
(41.95316377185154, -87.77684259284736)"
"AUSTIN AND IRVING PARK","1161","4000 N AUSTIN AVENUE","2024-11-28T00:00:00.000","1","1135599.9561109266","1926006.8626199858","41.953144059","-87.7769252842","
,  
(41.95314405904539, -87.77692528423394)"
"BELMONT AND KEDZIE","1373","3200 W BELMONT","2024-11-28T00:00:00.000","3","1154461.587940363","1921143.0910035155","41.9394405612","-87.7077185163","
,  
(41.93944056117365, -87.70771851630873)"
"BELMONT AND KEDZIE","1372","3200 N KEDZIE AVE","2024-11-28T00:00:00.000","7","1154426.977874407","1921110.4665495425","41.9393517303","-87.7078465936","
,  
(41.93935173030961, -87.70784659359776)"
"BROADWAY/SHERIDAN AND DEVON","1122","6400 N SHERIDAN ROAD","2024-11-28T00:00:00.000","4","1167087.1511941294","1942658.7049886892","41.9982179205","-87.6606952556","
,  
(41.99821792053241, -87.6606952555721)"
"CALIFORNIA AND DIVERSEY","1513","2800 W DIVERSEY","2024-11-28T00:00:00.000","6","1157212.5425335797","1918526.674434943","41.9322053951","-87.6976792439","
,  
(41.93220539506452, -87.6976792438691)"
"CALIFORNIA AND DIVERSEY","1511","2800 N CALIFORNIA AVE","2024-11-28T00:00:00.000","11","1157189.3550498285","1918495.6447540694","41.9321207191","-87.6977653004","
,  
(41.93212071910647, -87.69776530036465)"
"CALIFORNIA AND DIVERSEY","1514","2800 W DIVERSEY","2024-11-28T00:00:00.000","12","1157212.5425335797","1918526.674434943","41.9322053951","-87.6976792439","
,  
(41.93220539506452, -87.6976792438691)"
"CANAL AND ROOSEVELT","2294","500 W ROOSEVELT ROAD","2024-11-28T00:00:00.000","8","1173290.7218656102","1895021.166235495","41.8673626926","-87.6392931946","
,  
(41.867362692616666, -87.63929319464197)"
"CENTRAL AND ADDISON","1683","5600 W ADDISON STREET","2024-11-28T00:00:00.000","1","1138349.6633025021","1923416.0215706099","41.9459851043","-87.7668799517","
,  
(41.94598510430888, -87.76687995165918)"
"CENTRAL AND ADDISON","1682","3600 N CENTRAL AVENUE","2024-11-28T00:00:00.000","1","1138343.1174356816","1923392.067464765","41.9459194906","-87.7669045943","
,  
(41.945919490555106, -87.76690459426293)"
"CENTRAL AND BELMONT","1602","3200 N CENTRAL AVENUE","2024-11-28T00:00:00.000","1","1138430.4323245934","1920731.6544103362","41.9386174633","-87.7666482968","
,  
(41.938617463272884, -87.76664829683827)"
"CENTRAL AND BELMONT","1604","5600 W BELMONT AVENUE","2024-11-28T00:00:00.000","2","1138453.617438343","1920755.9727684117","41.9386837748","-87.7665624938","
,  
(41.93868377475747, -87.76656249384537)"
"CENTRAL AND CHICAGO","1972","800 N CENTRAL AVENUE","2024-11-28T00:00:00.000","9","1138836.5626085522","1904801.732832435","41.8948965794","-87.7655432585","
,  
(41.89489657939746, -87.76554325845893)"
"CENTRAL AND CHICAGO","1973","5600 W CHICAGO AVENUE","2024-11-28T00:00:00.000","2","1138858.8567324523","1904825.8275866562","41.8949622935","-87.7654607912","
,  
(41.89496229349977, -87.76546079122906)"
"CENTRAL AND DIVERSEY","1642","2800 N CENTRAL AVENUE","2024-11-28T00:00:00.000","2","1138516.4073773753","1918089.4992279871","41.9313655524","-87.7663965288","
,  
(41.93136555236339, -87.76639652879172)"
"CENTRAL AND DIVERSEY","1644","5600 W DIVERSEY AVENUE","2024-11-28T00:00:00.000","4","1138539.7585283977","1918097.096677271","41.9313859768","-87.7663105316","
,  
(41.93138597683265, -87.76631053155157)"
"CENTRAL AND FULLERTON","1442","2400 N CENTRAL AVENUE","2024-11-28T00:00:00.000","1","1138603.4684186617","1915431.058212414","41.9240689223","-87.7661412141","
,  
(41.92406892227644, -87.76614121413186)"
"CENTRAL AND FULLERTON","1444","5600 W FULLERTON AVENU","2024-11-28T00:00:00.000","3","1138627.279189421","1915438.969256439","41.9240901988","-87.7660535302","
,  
(41.92409019883488, -87.76605353016079)"
"CENTRAL AND IRVING PARK","1183","5600 W IRVING PARK ROAD","2024-11-28T00:00:00.000","2","1138281.5354849864","1926078.6477776328","41.9532928473","-87.7670657078","
,  
(41.953292847298, -87.76706570775266)"
"CENTRAL AND IRVING PARK","1182","4000 N CENTRAL AVENUE","2024-11-28T00:00:00.000","1","1138258.6141297636","1926071.1728849323","41.953272751","-87.7671501513","
,  
(41.95327275103541, -87.76715015131407)"
"CENTRAL AND LAKE","1742","400 N CENTRAL AVENUE","2024-11-28T00:00:00.000","12","1138928.478257537","1902217.9261498544","41.8878046205","-87.7652684981","
,  
(41.88780462053497, -87.76526849810371)"
"CENTRAL AND LAKE","1743","5600 W LAKE STREET","2024-11-28T00:00:00.000","1","1138951.4956950317","1902230.510465733","41.8878387353","-87.7651836634","
,  
(41.887838735330206, -87.76518366338465)"
"CENTRAL AND MILWAUKEE","3032","5232 N CENTRAL AVE","2024-11-28T00:00:00.000","1","1137802.4825597345","1934544.3605564877","41.9765322114","-87.768621661","
,  
(41.976532211352456, -87.76862166095856)"
"CHICAGO AND CLARK","1963","100 W CHICAGO AVENUE","2024-11-28T00:00:00.000","1","1175374.528739575","1905745.4778336398","41.8967443469","-87.6313212482","
,  
(41.896744346875806, -87.63132124815151)"
"CHICAGO AND CLARK","1964","100 W CHICAGO AVENUE","2024-11-28T00:00:00.000","4","1175374.528739575","1905745.4778336398","41.8967443469","-87.6313212482","
,  
(41.896744346875806, -87.63132124815151)"
"CICERO AND 47TH","2204","4800 W 47TH ST","2024-11-28T00:00:00.000","2","1145130.0489257441","1873078.4419830202","41.8077270168","-87.7432293657","
,  
(41.80772701677172, -87.74322936566276)"
"CICERO AND ADDISON","1611","3600 N CICERO AVENUE","2024-11-28T00:00:00.000","5","1143698.9046014948","1923517.0058210352","41.9461635236","-87.747215169","
,  
(41.94616352362556, -87.74721516897007)"
"CICERO AND ARMITAGE","2001","2000 N CICERO AVENUE","2024-11-28T00:00:00.000","2","1144031.5257190045","1912881.8300294997","41.9169733245","-87.7462602225","
,  
(41.91697332451097, -87.74626022251057)"
"CICERO AND ARMITAGE","2003","4800 W ARMITAGE AVENUE","2024-11-28T00:00:00.000","1","1144054.2512650797","1912907.0092610898","41.917041992","-87.7461760946","
,  
(41.91704199201953, -87.74617609464687)"
"CICERO AND CHICAGO","1781","800 N CICERO AVENUE","2024-11-28T00:00:00.000","5","1144169.1624821268","1904893.1892203724","41.895049038","-87.7459555163","
,  
(41.89504903796389, -87.74595551626888)"
"CICERO AND CHICAGO","1783","4800 W CHICAGO AVENUE","2024-11-28T00:00:00.000","1","1144175.2911527639","1904916.2552252791","41.8951122186","-87.745932427","
,  
(41.89511221857764, -87.74593242701515)"
"CICERO AND DIVERSEY","1694","4800 W DIVERSEY AVENUE","2024-11-28T00:00:00.000","2","1143869.848167704","1918226.043989398","41.9316414204","-87.7467199106","
,  
(41.93164142040689, -87.7467199106462)"
"CICERO AND DIVERSEY","1691","2800 N CICERO AVENUE","2024-11-28T00:00:00.000","2","1143863.6475748355","1918202.0184634144","41.9315756084","-87.7467433011","
,  
(41.93157560844622, -87.74674330113561)"
"CICERO AND FULLERTON","1472","2400 N CICERO AVE","2024-11-28T00:00:00.000","3","1143961.5921895688","1915545.3430940874","41.9242835898","-87.7464501903","
,  
(41.92428358982701, -87.74645019028947)"
"CICERO AND FULLERTON","1474","4800 W FULLERTON AVE","2024-11-28T00:00:00.000","1","1143967.5707942427","1915568.504954477","41.924347036","-87.7464276397","
,  
(41.924347036010694, -87.74642763965628)"
"CICERO AND HARRISON","2022","600 S CICERO AVENUE","2024-11-28T00:00:00.000","13","1144444.97442848","1896894.6222168717","41.8730948325","-87.7451438688","
,  
(41.873094832519136, -87.74514386884542)"
"CICERO AND HARRISON","2023","4800 W HARRISON STREET","2024-11-28T00:00:00.000","2","1144451.8673883027","1896949.561959463","41.8732454644","-87.7451171789","
,  
(41.873245464379586, -87.7451171788807)"
"CICERO AND I55","2251","4200 S CICERO AVENUE","2024-11-28T00:00:00.000","25","1145023.7428595088","1876358.2768355191","41.8167293867","-87.7435367125","
,  
(41.81672938674739, -87.74353671247594)"
"CICERO AND I55","2252","4200 S CICERO AVENUE","2024-11-28T00:00:00.000","2","1145023.7428595088","1876358.2768355191","41.8167293867","-87.7435367125","
,  
(41.81672938674739, -87.74353671247594)"
"CICERO AND NORTH","2033","4800 W NORTH AVENUE","2024-11-28T00:00:00.000","4","1144053.7337471629","1910243.8056704097","41.9097338901","-87.746244973","
,  
(41.909733890131285, -87.74624497295898)"
"CICERO AND NORTH","2034","4800 W NORTH AVENUE","2024-11-28T00:00:00.000","1","1144053.7337471629","1910243.8056704097","41.9097338901","-87.746244973","
,  
(41.909733890131285, -87.74624497295898)"
"CICERO AND PETERSON","1202","6000 N CICERO AVENUE","2024-11-28T00:00:00.000","3","1143247.733553094","1939479.3429057037","41.9899739151","-87.7484730243","
,  
(41.98997391514614, -87.74847302426933)"
"CICERO AND WASHINGTON","1891","100 N CICERO AVENUE","2024-11-28T00:00:00.000","33","1144328.9840914793","1900095.1708384587","41.8818797099","-87.7454892473","
,  
(41.88187970991601, -87.7454892473012)"
"CLARK AND FULLERTON","1631","2400 N CLARK ST","2024-11-28T00:00:00.000","4","1172749.5622094767","1916238.9971328594","41.925597623","-87.6406509731","
,  
(41.925597623023144, -87.64065097309872)"
"CLARK AND FULLERTON","1632","2400 N CLARK ST","2024-11-28T00:00:00.000","3","1172749.5622094767","1916238.9971328594","41.925597623","-87.6406509731","
,  
(41.925597623023144, -87.64065097309872)"
"CLARK AND IRVING PARK","1091","4000 N CLARK STREET","2024-11-28T00:00:00.000","1","1166736.149822904","1926699.3236247094","41.9544324414","-87.6624462591","
,  
(41.95443244141688, -87.66244625914061)"
"CLARK AND IRVING PARK","1093","1300 W IRVING PARK ROAD","2024-11-28T00:00:00.000","10","1166777.545456989","1926719.7368735704","41.9544875669","-87.6622934959","
,  
(41.95448756687966, -87.66229349585691)"
"COLUMBUS AND ILLINOIS","1951","500 N COLUMBUS DRIVE","2024-11-28T00:00:00.000","7","1178372.8084072922","1903693.0601604197","41.8910445691","-87.6203718391","
,  
(41.891044569124276, -87.620371839074)"
"CORTLAND AND ASHLAND","1723","1600 W CORTLAND ST","2024-11-28T00:00:00.000","1","1165377.660768235","1912768.773647285","41.9162353375","-87.6678377721","
,  
(41.91623533746878, -87.66783777212962)"
"CORTLAND AND ASHLAND","1721","1900 N ASHLAND AVE","2024-11-28T00:00:00.000","14","1165348.0848548568","1912736.454335569","41.916147281","-87.6679473535","
,  
(41.91614728095272, -87.66794735350443)"
"COTTAGE GROVE AND 71ST","2572","7100 S COTTAGE GROVE","2024-11-28T00:00:00.000","3","1182746.2369869903","1858088.0110645383","41.7658003513","-87.605729127","
,  
(41.76580035131893, -87.6057291269901)"
"DAMEN AND 63RD","2701","6300 S DAMEN AVENUE","2024-11-28T00:00:00.000","7","1164069.4079432979","1862830.2774428343","41.7792269207","-87.6740527314","
,  
(41.77922692069256, -87.67405273137854)"
"DAMEN AND 63RD","2702","6300 S DAMEN AVENUE","2024-11-28T00:00:00.000","2","1164069.4079432979","1862830.2774428343","41.7792269207","-87.6740527314","
,  
(41.77922692069256, -87.67405273137854)"
"DAMEN AND DIVERSEY","1464","2000 W DIVERSEY PARKWAY","2024-11-28T00:00:00.000","3","1162519.714934025","1918635.4176349246","41.932394164","-87.6781730309","
,  
(41.93239416403691, -87.67817303087757)"
"DAMEN AND DIVERSEY","1462","2800 N DAMEN AVENUE","2024-11-28T00:00:00.000","3","1162490.04851994","1918611.623717091","41.9323294941","-87.6782827193","
,  
(41.9323294940985, -87.67828271931386)"
"DAMEN AND ELSTON","3072","2426 N DAMEN AVE","2024-11-28T00:00:00.000","8","1162561.1617221304","1916207.7830178165","41.9257317137","-87.6780888962","
,  
(41.925731713685686, -87.67808889622799)"
"DAMEN AND FULLERTON","1663","2000 W FULLERTON AVE","2024-11-28T00:00:00.000","10","1162596.9355528913","1915990.5797478906","41.9251349437","-87.6779635455","
,  
(41.92513494374925, -87.67796354553815)"
"DIVERSEY AND AUSTIN","1454","6000 W DIVERSEY AVENUE","2024-11-28T00:00:00.000","6","1135895.7361693433","1918029.7067383698","41.9312486236","-87.7760286117","
,  
(41.931248623643455, -87.77602861172493)"
"DIVERSEY AND AUSTIN","1453","6000 W DIVERSEY AVENUE","2024-11-28T00:00:00.000","1","1135895.7361693433","1918029.7067383698","41.9312486236","-87.7760286117","
,  
(41.931248623643455, -87.77602861172493)"
"DIVERSEY AND WESTERN","1434","2400 W DIVERSEY AVENUE","2024-11-28T00:00:00.000","2","1159859.648423836","1918576.255784305","41.932287183","-87.6879500934","
,  
(41.93228718299094, -87.6879500934122)"
"DIVERSEY AND WESTERN","1431","2800 N WESTERN AVENUE","2024-11-28T00:00:00.000","6","1159837.205417355","1918550.5061893093","41.9322169879","-87.6880332809","
,  
(41.93221698794738, -87.68803328089533)"
"DIVISION AND DAMEN","1734","2000 W DIVISION","2024-11-28T00:00:00.000","6","1162815.7108601944","1908034.6725555311","41.9032987927","-87.6773832474","
,  
(41.903298792681944, -87.67738324739636)"
"DIVISION AND DAMEN","1733","2000 W DIVISION","2024-11-28T00:00:00.000","6","1162815.7108601944","1908034.6725555311","41.9032987927","-87.6773832474","
,  
(41.903298792681944, -87.67738324739636)"
"ELSTON AND ADDISON","1403","3216 W ADDISON ST","2024-11-28T00:00:00.000","11","1154199.7298168682","1923799.3453866653","41.9467347549","-87.7086097736","
,  
(41.946734754927796, -87.7086097735515)"
"ELSTON AND IRVING PARK","1503","3700 W IRVING PARK ROA","2024-11-28T00:00:00.000","7",,,,,
"ELSTON AND IRVING PARK","1502","4000 N ELSTON AVENUE","2024-11-28T00:00:00.000","1","1151273.9748281979","1926311.8494698424","41.9536872656","-87.7192978815","
,  
(41.95368726563273, -87.71929788151473)"
"ELSTON AND LAWRENCE","1284","4440 W LAWRENCE AVENUE","2024-11-28T00:00:00.000","15","1145715.061027481","1931571.0474838","41.9682263975","-87.7395992507","
,  
(41.96822639754791, -87.73959925065756)"
"ELSTON AND LAWRENCE","1282","4800 N ELSTON AVENUE","2024-11-28T00:00:00.000","1","1145529.3442599177","1931501.6012689827","41.9680393614","-87.7402838945","
,  
(41.96803936143674, -87.74028389448999)"
"FOSTER AND BROADWAY","1113","1200 W FOSTER AVE","2024-11-28T00:00:00.000","4","1167357.0959307519","1934721.3932667768","41.9764319202","-87.659931806","
,  
(41.97643192018459, -87.65993180604016)"
"FOSTER AND BROADWAY","1111","5200 N BROADWAY ST","2024-11-28T00:00:00.000","2","1167334.5085779147","1934714.0083465318","41.9764121429","-87.6600150821","
,  
(41.97641214294823, -87.66001508205365)"
"FOSTER AND NAGLE","1031","5200 N NAGLE","2024-11-28T00:00:00.000","8","1132529.6565582233","1934201.7020606506","41.9756856697","-87.7880204062","
,  
(41.97568566971868, -87.78802040620296)"
"FOSTER AND NAGLE","1034","6400 W FOSTER","2024-11-28T00:00:00.000","1","1132552.8931421526","1934229.875527466","41.9757625745","-87.7879342955","
,  
(41.97576257447203, -87.7879342955108)"
"FOSTER AND NORTHWEST HIGHWAY","3003","5616 W FOSTER AVE","2024-11-28T00:00:00.000","3","1137626.093281239","1934273.2391283342","41.9757914197","-87.7692768929","
,  
(41.975791419680704, -87.76927689293382)"
"FULLERTON AND NARRAGANSETT","1554","6400 W FULLERTON AVENU","2024-11-28T00:00:00.000","13","1133317.5944990586","1915293.6613059312","41.9237861887","-87.7855672056","
,  
(41.92378618871128, -87.78556720562165)"
"FULLERTON AND NARRAGANSETT","1553","6400 W FULLERTON AVENU","2024-11-28T00:00:00.000","4","1133317.5944990586","1915293.6613059312","41.9237861887","-87.7855672056","
,  
(41.92378618871128, -87.78556720562165)"
"HALSTED AND 95TH","2581","9500 S HALSTED STREET","2024-11-28T00:00:00.000","6","1172610.5383636453","1841811.6192620702","41.7213650608","-87.6433580423","
,  
(41.72136506078306, -87.64335804234075)"
"HALSTED AND DIVISION","1714","800 W DIVISION","2024-11-28T00:00:00.000","7","1170767.8279603578","1908259.6441516625","41.9037455573","-87.6481670106","
,  
(41.90374555734733, -87.64816701062779)"
"HALSTED AND DIVISION","1711","1200 N HALSTED","2024-11-28T00:00:00.000","4","1170746.6394287345","1908242.2560107738","41.9036983077","-87.6482453506","
,  
(41.90369830765008, -87.64824535062563)"
"HALSTED AND FULLERTON","1704","800 W FULLERTON AVENUE","2024-11-28T00:00:00.000","1","1170525.6247233113","1916208.4439927782","41.9255627911","-87.6488236415","
,  
(41.92556279107417, -87.64882364145232)"
"HALSTED AND MADISON","1871","1 S HALSTED STREET","2024-11-28T00:00:00.000","5","1171092.3928687843","1900234.5420887412","41.8817170556","-87.6472105392","
,  
(41.88171705561901, -87.64721053920604)"
"HAMLIN AND LAKE","1881","300 N HAMLIN AVENUE","2024-11-28T00:00:00.000","11","1150970.0268566424","1901381.688308858","41.8852826358","-87.7210695385","
,  
(41.88528263580913, -87.72106953854511)"
"HAMLIN AND LAKE","1882","300 N HAMLIN AVENUE","2024-11-28T00:00:00.000","5","1150970.0268566424","1901381.688308858","41.8852826358","-87.7210695385","
,  
(41.88528263580913, -87.72106953854511)"
"HAMLIN AND MADISON","1903","3800 W MADISON STREET","2024-11-28T00:00:00.000","7","1151032.709141294","1899784.0339865326","41.8808972735","-87.7208812261","
,  
(41.880897273491264, -87.72088122613924)"
"HAMLIN AND MADISON","1901","0 N HAMLIN BOULEVARD","2024-11-28T00:00:00.000","2","1151027.1468148108","1899763.661077263","41.8808414769","-87.7209021846","
,  
(41.88084147694413, -87.72090218457842)"
"HARLEM AND BELMONT","1394","7200 W BELMONT AVE","2024-11-28T00:00:00.000","2","1127504.6981535607","1920475.415440844","41.9381054794","-87.8068095524","
,  
(41.93810547939496, -87.80680955240743)"
"HARLEM AND BELMONT","1391","3200 N HARLEM AVE","2024-11-28T00:00:00.000","5","1127481.0209954507","1920467.6132392394","41.9380844682","-87.8068967489","
,  
(41.93808446822169, -87.80689674887883)"
"HOLLYWOOD AND SHERIDAN","1344","1000 W HOLLYWOOD AVE","2024-11-28T00:00:00.000","10","1168580.2289264658","1938090.295189338","41.9856497986","-87.6553358066","
,  
(41.98564979859328, -87.65533580655139)"
"HOLLYWOOD AND SHERIDAN","1343","1000 W HOLLYWOOD AVE","2024-11-28T00:00:00.000","8","1168580.2289264658","1938090.295189338","41.9856497986","-87.6553358066","
,  
(41.98564979859328, -87.65533580655139)"
"HOMAN/KIMBALL AND NORTH","1771","1600 N HOMAN AVENUE","2024-11-28T00:00:00.000","1",,,,,
"HOMAN/KIMBALL AND NORTH","1773","3400 W NORTH AVE","2024-11-28T00:00:00.000","1","1153386.578905125","1910465.8706172197","41.9101628468","-87.7119538677","
,  
(41.91016284680269, -87.71195386769125)"
"IRVING PARK AND CALIFORNIA","1233","2800 W IRVING PARK ROA","2024-11-28T00:00:00.000","1",,,,,
"IRVING PARK AND KILPATRICK","2763","4700 W IRVING PARK ROA","2024-11-28T00:00:00.000","5",,,,,
"IRVING PARK AND KILPATRICK","2764","4700 W IRVING PARK ROA","2024-11-28T00:00:00.000","11",,,,,
